EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1575664869.687012,358052.922,61661,64,GX,1,100,13.245
1575664869.733176,358091.813,61661,64,GX,1,100,16.815
1575664869.779340,358130.703,61661,64,GX,1,100,11.475
1575664869.825503,358169.594,61661,64,GX,1,100,10.590
1575664869.871667,358208.484,61661,64,GX,1,100,-6.256
1575664869.917830,358247.375,61661,64,GX,1,100,-20.355
1575664869.963994,358286.266,61661,64,GX,1,100,-18.738
1575664870.010157,358325.156,61661,64,GX,1,100,-13.123
1575664870.056321,358364.047,61661,64,GX,1,100,-10.101
1575664870.102484,358402.938,61661,64,GX,1,100,-22.217
1575664870.148648,358441.828,61661,64,GX,1,100,0.763
1575664870.194812,358480.719,61661,64,GX,1,100,4.181
1575664870.240975,358519.609,61661,64,GX,1,100,-8.392
1575664870.287139,358558.500,61661,64,GX,1,100,-5.219
1575664870.333302,358597.391,61661,64,GX,1,100,-5.554
1575664870.379466,358636.281,61661,64,GX,1,100,-5.402
1575664870.425630,358675.172,61661,64,GX,1,100,-16.998
1575664870.471793,358714.063,61661,64,GX,1,100,-20.203
1575664870.517957,358752.953,61661,64,GX,1,100,5.615
1575664870.564120,358791.844,61661,64,GX,1,100,13.733
1575664870.610284,358830.734,61661,64,GX,1,100,10.864
1575664870.656447,358869.625,61661,64,GX,1,100,8.118
1575664870.702611,358908.516,61661,64,GX,1,100,-7.904
1575664870.748775,358947.406,61661,64,GX,1,100,-6.622
1575664870.794938,358986.297,61661,64,GX,1,100,-11.444
1575664870.841102,359025.188,61661,64,GX,1,100,-14.526
1575664870.887265,359064.078,61661,64,GX,1,100,-7.202
1575664870.933429,359102.969,61661,64,GX,1,100,-9.155
1575664870.979592,359141.859,61661,64,GX,1,100,-10.345
