EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1575665237.175131,30058.000,4764,3,AX,1,100,-0.750
1575665237.215588,30092.000,4764,3,AX,1,100,-0.753
1575665237.256044,30126.000,4764,3,AX,1,100,-0.710
1575665237.297295,30160.667,4782,3,AX,1,100,-0.686
1575665237.338545,30195.333,4782,3,AX,1,100,-0.700
1575665237.379795,30230.000,4782,3,AX,1,100,-0.719
1575665237.421442,30265.000,4800,2,AX,1,100,-0.744
1575665237.463088,30300.000,4800,2,AX,1,100,-0.770
1575665237.501165,30332.000,4818,4,AX,1,100,-0.757
1575665237.539242,30364.000,4818,4,AX,1,100,-0.715
1575665237.577319,30396.000,4818,4,AX,1,100,-0.722
1575665237.615396,30428.000,4818,4,AX,1,100,-0.713
1575665237.653870,30460.333,4836,3,AX,1,100,-0.705
1575665237.692344,30492.667,4836,3,AX,1,100,-0.720
1575665237.730817,30525.000,4836,3,AX,1,100,-0.725
1575665237.770679,30558.500,4853,2,AX,1,100,-0.751
1575665237.810541,30592.000,4853,2,AX,1,100,-0.744
1575665237.855361,30629.667,4872,3,AX,1,100,-0.726
1575665237.900181,30667.333,4872,3,AX,1,100,-0.763
1575665237.945001,30705.000,4872,3,AX,1,100,-0.749
1575665237.986647,30740.000,4888,3,AX,1,100,-0.747
1575665238.028294,30775.000,4888,3,AX,1,100,-0.665
1575665238.069941,30810.000,4888,3,AX,1,100,-0.609
1575665238.110001,30843.667,4906,3,AX,1,100,-0.612
1575665238.150061,30877.333,4906,3,AX,1,100,-0.633
1575665238.190122,30911.000,4906,3,AX,1,100,-0.621
1575665238.228199,30943.000,4924,4,AX,1,100,-0.642
1575665238.266276,30975.000,4924,4,AX,1,100,-0.661
1575665238.304353,31007.000,4924,4,AX,1,100,-0.621
1575665238.342430,31039.000,4924,4,AX,1,100,-0.678
1575665238.382093,31072.333,4942,3,AX,1,100,-0.648
1575665238.421757,31105.667,4942,3,AX,1,100,-0.660
1575665238.461420,31139.000,4942,3,AX,1,100,-0.687
1575665238.502671,31173.667,4960,3,AX,1,100,-0.653
1575665238.543921,31208.333,4960,3,AX,1,100,-0.662
1575665238.585171,31243.000,4960,3,AX,1,100,-0.668
1575665238.631577,31282.000,4978,2,AX,1,100,-0.658
1575665238.677984,31321.000,4978,2,AX,1,100,-0.677
1575665238.718837,31355.333,4996,3,AX,1,100,-0.666
1575665238.759691,31389.667,4996,3,AX,1,100,-0.671
1575665238.800544,31424.000,4996,3,AX,1,100,-0.698
1575665238.838224,31455.667,5015,3,AX,1,100,-0.684
1575665238.875905,31487.333,5015,3,AX,1,100,-0.676
1575665238.913585,31519.000,5015,3,AX,1,100,-0.678
1575665238.952852,31552.000,5032,3,AX,1,100,-0.686
