EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1575664912.888341,394448.000,1864,1,T0,1,100,25.518
1575664913.027221,394565.000,1881,1,T0,1,100,25.550
1575664913.163727,394680.000,1916,1,T0,1,100,25.544
1575664913.306169,394800.000,1933,1,T0,1,100,25.571
1575664913.445049,394917.000,1951,1,T0,1,100,25.555
1575664913.581555,395032.000,1969,1,T0,1,100,25.609
1575664913.723996,395152.000,1987,1,T0,1,100,25.544
1575664913.861689,395268.000,2006,1,T0,1,100,25.555
1575664913.997009,395382.000,2023,1,T0,1,100,25.539
1575664914.124019,395489.000,2057,1,T0,1,100,25.560
1575664914.259338,395603.000,2075,1,T0,1,100,25.539
1575664914.386348,395710.000,2093,1,T0,1,100,25.582
1575664914.524041,395826.000,2111,1,T0,1,100,25.555
1575664914.661734,395942.000,2129,1,T0,1,100,25.577
1575664914.798240,396057.000,2147,1,T0,1,100,25.587
1575664914.925251,396164.000,2166,1,T0,1,100,25.566
1575664915.055822,396274.000,2184,1,T0,1,100,25.550
1575664915.187580,396385.000,2201,1,T0,1,100,25.528
1575664915.325273,396501.000,2235,1,T0,1,100,25.539
1575664915.460592,396615.000,2253,1,T0,1,100,25.566
1575664915.585228,396720.000,2271,1,T0,1,100,25.571
1575664915.716986,396831.000,2289,1,T0,1,100,25.550
1575664915.855866,396948.000,2308,1,T0,1,100,25.534
1575664915.992373,397063.000,2326,1,T0,1,100,25.582
1575664916.124131,397174.000,2344,1,T0,1,100,25.587
1575664916.249954,397280.000,2362,1,T0,1,100,25.582
1575664916.381712,397391.000,2379,1,T0,1,100,25.577
1575664916.520592,397508.000,2413,1,T0,1,100,25.582
1575664916.658285,397624.000,2431,1,T0,1,100,25.571
1575664916.781734,397728.000,2450,1,T0,1,100,25.598
1575664916.911119,397837.000,2468,1,T0,1,100,25.544
1575664917.038129,397944.000,2489,2,T0,1,100,25.587
1575664917.165139,398051.000,2489,2,T0,1,100,25.566
1575664917.295710,398161.000,2509,1,T0,1,100,25.571
1575664917.420346,398266.000,2527,1,T0,1,100,25.593
1575664917.553291,398378.000,2561,1,T0,1,100,25.571
1575664917.693358,398496.000,2579,1,T0,1,100,25.544
1575664917.828677,398610.000,2598,1,T0,1,100,25.587
1575664917.962810,398723.000,2616,1,T0,1,100,25.555
1575664918.101690,398840.000,2634,1,T0,1,100,25.577
1575664918.229887,398948.000,2652,1,T0,1,100,25.593
1575664918.361645,399059.000,2670,1,T0,1,100,25.550
1575664918.488655,399166.000,2687,1,T0,1,100,25.582
1575664918.622787,399279.000,2705,1,T0,1,100,25.582
1575664918.755732,399391.000,2740,1,T0,1,100,25.587
1575664918.896986,399510.000,2758,1,T0,1,100,25.512
1575664919.025184,399618.000,2776,1,T0,1,100,25.560
1575664919.148633,399722.000,2794,1,T0,1,100,25.550
1575664919.286326,399838.000,2812,1,T0,1,100,25.550
1575664919.426393,399956.000,2830,1,T0,1,100,25.539
1575664919.560525,400069.000,2848,1,T0,1,100,25.555
1575664919.685161,400174.000,2865,1,T0,1,100,25.560
1575664919.816919,400285.000,2883,1,T0,1,100,25.587
1575664919.954612,400401.000,2918,1,T0,1,100,25.609
1575664920.092306,400517.000,2936,1,T0,1,100,25.577
1575664920.224064,400628.000,2954,1,T0,1,100,25.587
1575664920.346326,400731.000,2972,1,T0,1,100,25.582
1575664920.482832,400846.000,2990,1,T0,1,100,25.571
1575664920.616964,400959.000,3008,1,T0,1,100,25.593
1575664920.754658,401075.000,3026,1,T0,1,100,25.550
1575664920.891164,401190.000,3044,1,T0,1,100,25.603
1575664921.025296,401303.000,3078,1,T0,1,100,25.593
1575664921.162989,401419.000,3096,1,T0,1,100,25.593
1575664921.299495,401534.000,3114,1,T0,1,100,25.582
1575664921.436001,401649.000,3132,1,T0,1,100,25.566
1575664921.560637,401754.000,3150,1,T0,1,100,25.619
1575664921.693583,401866.000,3168,1,T0,1,100,25.577
1575664921.821780,401974.000,3187,1,T0,1,100,25.587
1575664921.952351,402084.000,3205,1,T0,1,100,25.609
1575664922.091231,402201.000,3222,1,T0,1,100,25.555
1575664922.230111,402318.000,3256,1,T0,1,100,25.571
1575664922.353560,402422.000,3274,1,T0,1,100,25.603
1575664922.484131,402532.000,3292,1,T0,1,100,25.560
1575664922.620637,402647.000,3310,1,T0,1,100,25.587
1575664922.752396,402758.000,3328,1,T0,1,100,25.603
1575664922.888902,402873.000,3347,1,T0,1,100,25.582
1575664923.015912,402980.000,3365,1,T0,1,100,25.598
1575664923.145296,403089.000,3386,1,T0,1,100,25.598
1575664923.280615,403203.000,3406,1,T0,1,100,25.614
1575664923.421869,403322.000,3424,1,T0,1,100,25.603
1575664923.551254,403431.000,3442,1,T0,1,100,25.630
1575664923.678264,403538.000,3460,1,T0,1,100,25.593
1575664923.810022,403649.000,3479,1,T0,1,100,25.598
1575664923.945341,403763.000,3497,1,T0,1,100,25.609
1575664924.083034,403879.000,3514,1,T0,1,100,25.609
1575664924.208857,403985.000,3532,1,T0,1,100,25.587
1575664924.337054,404093.000,3566,1,T0,1,100,25.641
1575664924.473560,404208.000,3584,1,T0,1,100,25.598
1575664924.610067,404323.000,3602,1,T0,1,100,25.619
1575664924.735890,404429.000,3621,1,T0,1,100,25.614
1575664924.872396,404544.000,3639,1,T0,1,100,25.603
1575664925.008902,404659.000,3657,1,T0,1,100,25.630
1575664925.133538,404764.000,3675,1,T0,1,100,25.593
1575664925.271231,404880.000,3693,1,T0,1,100,25.593
1575664925.410111,404997.000,3726,1,T0,1,100,25.598
1575664925.546618,405112.000,3744,1,T0,1,100,25.609
1575664925.686685,405230.000,3762,1,T0,1,100,25.619
1575664925.818443,405341.000,3781,1,T0,1,100,25.609
1575664925.941892,405445.000,3799,1,T0,1,100,25.598
1575664926.078398,405560.000,3817,1,T0,1,100,25.593
1575664926.214904,405675.000,3835,1,T0,1,100,25.614
1575664926.350224,405789.000,3853,1,T0,1,100,25.587
1575664926.478420,405897.000,3870,1,T0,1,100,25.630
1575664926.607805,406006.000,3905,1,T0,1,100,25.614
1575664926.741937,406119.000,3923,1,T0,1,100,25.609
1575664926.876069,406232.000,3941,1,T0,1,100,25.630
1575664927.013762,406348.000,3959,1,T0,1,100,25.598
1575664927.138398,406453.000,3977,1,T0,1,100,25.630
1575664927.268969,406563.000,3995,1,T0,1,100,25.598
1575664927.407850,406680.000,4013,1,T0,1,100,25.625
1575664927.544356,406795.000,4031,1,T0,1,100,25.614
1575664927.676114,406906.000,4048,1,T0,1,100,25.636
1575664927.803124,407013.000,4066,1,T0,1,100,25.652
1575664927.933695,407123.000,4101,1,T0,1,100,25.619
1575664928.072575,407240.000,4119,1,T0,1,100,25.619
1575664928.212642,407358.000,4137,1,T0,1,100,25.619
1575664928.349149,407473.000,4155,1,T0,1,100,25.582
1575664928.491590,407593.000,4173,1,T0,1,100,25.593
1575664928.631657,407711.000,4190,1,T0,1,100,25.636
1575664928.768163,407826.000,4226,1,T0,1,100,25.587
1575664928.910604,407946.000,4243,1,T0,1,100,25.630
1575664929.049485,408063.000,4261,1,T0,1,100,25.614
1575664929.181836,408174.500,4282,2,T0,1,100,25.646
1575664929.314188,408286.000,4282,2,T0,1,100,25.646
1575664929.441198,408393.000,4318,1,T0,1,100,25.641
1575664929.567021,408499.000,4336,1,T0,1,100,25.646
1575664929.704714,408615.000,4354,1,T0,1,100,25.636
1575664929.842407,408731.000,4373,1,T0,1,100,25.641
1575664929.972979,408841.000,4391,1,T0,1,100,25.678
1575664930.101176,408949.000,4409,1,T0,1,100,25.636
