EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1576779364.731811,260673.000,45208,1,TL,1,100,2019-12-19_14-16-04-823198
1576779364.927557,260838.000,45229,1,TL,1,100,2019-12-19_14-16-04-984424
1576779370.789273,265779.000,46106,1,TL,1,100,2019-12-19_14-16-10-902771
1576779370.981460,265941.000,46126,1,TL,1,100,2019-12-19_14-16-11-055943
1576779376.851480,270889.000,47002,1,TL,1,100,2019-12-19_14-16-16-986668
1576779377.049600,271056.000,47022,1,TL,1,100,2019-12-19_14-16-17-148398
1576779382.908943,275995.000,47898,1,TL,1,100,2019-12-19_14-16-23-045754
1576779383.096385,276153.000,47918,1,TL,1,100,2019-12-19_14-16-23-211219
1576779388.969964,281104.000,48794,1,TL,1,100,2019-12-19_14-16-29-065602
1576779389.163337,281267.000,48814,1,TL,1,100,2019-12-19_14-16-29-223046
1576779395.030985,286213.000,49691,1,TL,1,100,2019-12-19_14-16-35-153979
1576779395.221986,286374.000,49711,1,TL,1,100,2019-12-19_14-16-35-309645
1576779401.089633,291320.000,50587,1,TL,1,100,2019-12-19_14-16-41-210057
1576779401.294871,291493.000,50607,1,TL,1,100,2019-12-19_14-16-41-378848
1576779407.147095,296426.000,51483,1,TL,1,100,2019-12-19_14-16-47-276932
1576779407.342842,296591.000,51503,1,TL,1,100,2019-12-19_14-16-47-443674
1576779413.211676,301538.000,52379,1,TL,1,100,2019-12-19_14-16-53-342801
1576779413.547410,301821.000,52417,1,TL,1,100,2019-12-19_14-16-53-668934
1576779419.269138,306644.000,53275,1,TL,1,100,2019-12-19_14-16-59-391097
1576779419.576400,306903.000,53313,1,TL,1,100,2019-12-19_14-16-59-683174
1576779425.330159,311753.000,54171,1,TL,1,100,2019-12-19_14-17-05-459645
1576779425.625558,312002.000,54209,1,TL,1,100,2019-12-19_14-17-05-749318
1576779431.580995,317022.000,55087,1,TL,1,100,2019-12-19_14-17-11-672857
1576779431.589299,317029.000,55089,1,TL,1,100,2019-12-19_14-17-11-693003
1576779437.486605,322000.000,55965,1,TL,1,100,2019-12-19_14-17-17-642894
1576779437.639643,322129.000,55985,1,TL,1,100,2019-12-19_14-17-17-772019
1576779443.528645,327093.000,56859,1,TL,1,100,2019-12-19_14-17-23-660813
1576779443.693546,327232.000,56879,1,TL,1,100,2019-12-19_14-17-23-808382
1576779449.640679,332245.000,57755,1,TL,1,100,2019-12-19_14-17-29-775380
1576779449.751009,332338.000,57776,1,TL,1,100,2019-12-19_14-17-29-868693
1576779455.628147,337292.000,58651,1,TL,1,100,2019-12-19_14-17-35-770474
1576779455.826266,337459.000,58672,1,TL,1,100,2019-12-19_14-17-35-931251
