EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1574950479.917931,16760.333,2260,3,GY,1,100,-0.488
1574950479.957980,16794.000,2260,3,GY,1,100,-0.488
1574950480.004969,16833.500,2277,2,GY,1,100,0.824
1574950480.051959,16873.000,2277,2,GY,1,100,3.143
1574950480.093198,16907.667,2293,3,GY,1,100,-2.228
1574950480.134437,16942.333,2293,3,GY,1,100,-2.502
1574950480.175677,16977.000,2293,3,GY,1,100,1.007
1574950480.215330,17010.333,2311,3,GY,1,100,0.275
1574950480.254983,17043.667,2311,3,GY,1,100,0.854
1574950480.294637,17077.000,2311,3,GY,1,100,1.862
1574950480.331911,17108.333,2329,3,GY,1,100,-1.251
1574950480.369185,17139.667,2329,3,GY,1,100,-2.319
1574950480.406459,17171.000,2329,3,GY,1,100,-0.488
1574950480.446112,17204.333,2347,3,GY,1,100,-2.625
1574950480.485765,17237.667,2347,3,GY,1,100,-8.636
1574950480.525419,17271.000,2347,3,GY,1,100,-19.501
1574950480.567055,17306.000,2366,3,GY,1,100,-35.706
1574950480.608691,17341.000,2366,3,GY,1,100,-45.349
1574950480.650326,17376.000,2366,3,GY,1,100,-29.266
1574950480.691566,17410.667,2384,3,GY,1,100,-21.240
1574950480.732805,17445.333,2384,3,GY,1,100,-26.337
1574950480.774045,17480.000,2384,3,GY,1,100,-36.011
1574950480.813301,17513.000,2402,3,GY,1,100,-23.102
1574950480.852558,17546.000,2402,3,GY,1,100,-19.257
1574950480.891815,17579.000,2402,3,GY,1,100,-26.367
1574950480.932658,17613.333,2420,3,GY,1,100,-21.606
1574950480.973501,17647.667,2420,3,GY,1,100,-36.957
1574950481.014344,17682.000,2420,3,GY,1,100,-42.084
1574950481.053600,17715.000,2438,3,GY,1,100,-10.773
1574950481.092857,17748.000,2438,3,GY,1,100,171.326
1574950481.132114,17781.000,2438,3,GY,1,100,392.456
1574950481.173353,17815.667,2455,3,GY,1,100,-133.545
1574950481.214592,17850.333,2455,3,GY,1,100,-31.189
1574950481.255832,17885.000,2455,3,GY,1,100,-27.161
1574950481.297071,17919.667,2473,3,GY,1,100,-159.637
1574950481.338311,17954.333,2473,3,GY,1,100,-131.805
1574950481.379550,17989.000,2473,3,GY,1,100,-87.189
1574950481.419204,18022.333,2489,3,GY,1,100,53.955
1574950481.458857,18055.667,2489,3,GY,1,100,263.550
1574950481.498510,18089.000,2489,3,GY,1,100,-103.912
1574950481.540146,18124.000,2508,3,GY,1,100,-3.113
1574950481.581782,18159.000,2508,3,GY,1,100,64.148
1574950481.623418,18194.000,2508,3,GY,1,100,-153.259
1574950481.663468,18227.667,2526,3,GY,1,100,-163.666
1574950481.703517,18261.333,2526,3,GY,1,100,-91.003
1574950481.743567,18295.000,2526,3,GY,1,100,36.743
1574950481.779652,18325.333,2544,3,GY,1,100,303.009
1574950481.815736,18355.667,2544,3,GY,1,100,-12.634
1574950481.851821,18386.000,2544,3,GY,1,100,-7.507
1574950481.896629,18423.667,2562,3,GY,1,100,71.594
1574950481.941437,18461.333,2562,3,GY,1,100,-85.144
1574950481.986245,18499.000,2562,3,GY,1,100,-79.010
1574950482.020744,18528.000,2580,3,GY,1,100,0.031
1574950482.055242,18557.000,2580,3,GY,1,100,-0.092
1574950482.089740,18586.000,2580,3,GY,1,100,1.984
1574950482.133755,18623.000,2598,3,GY,1,100,0.427
1574950482.177771,18660.000,2598,3,GY,1,100,26.031
1574950482.221786,18697.000,2598,3,GY,1,100,16.479
1574950482.263422,18732.000,2616,3,GY,1,100,4.089
1574950482.305058,18767.000,2616,3,GY,1,100,43.365
1574950482.346694,18802.000,2616,3,GY,1,100,24.170
1574950482.388726,18837.333,2633,3,GY,1,100,29.266
1574950482.430758,18872.667,2633,3,GY,1,100,60.852
1574950482.472791,18908.000,2633,3,GY,1,100,61.523
1574950482.511651,18940.667,2651,3,GY,1,100,66.284
1574950482.550511,18973.333,2651,3,GY,1,100,63.568
1574950482.589371,19006.000,2651,3,GY,1,100,40.466
1574950482.627042,19037.667,2670,3,GY,1,100,40.741
1574950482.664713,19069.333,2670,3,GY,1,100,49.530
1574950482.702383,19101.000,2670,3,GY,1,100,30.670
1574950482.742433,19134.667,2686,3,GY,1,100,24.445
1574950482.782483,19168.333,2686,3,GY,1,100,10.223
1574950482.822533,19202.000,2686,3,GY,1,100,-16.022
1574950482.864169,19237.000,2704,3,GY,1,100,-6.989
1574950482.905805,19272.000,2704,3,GY,1,100,11.017
1574950482.947441,19307.000,2704,3,GY,1,100,11.475
1574950482.990266,19343.000,2725,5,GY,1,100,4.150
1574950483.033092,19379.000,2725,5,GY,1,100,-0.336
1574950483.075917,19415.000,2725,5,GY,1,100,1.404
1574950483.118743,19451.000,2725,5,GY,1,100,0.061
1574950483.161568,19487.000,2725,5,GY,1,100,0.854
1574950483.199636,19519.000,2745,3,GY,1,100,5.157
1574950483.237703,19551.000,2745,3,GY,1,100,5.066
1574950483.275770,19583.000,2745,3,GY,1,100,1.190
1574950483.314630,19615.667,2763,3,GY,1,100,0.427
1574950483.353490,19648.333,2763,3,GY,1,100,1.892
1574950483.392350,19681.000,2763,3,GY,1,100,2.319
1574950483.433590,19715.667,2779,3,GY,1,100,0.671
1574950483.474829,19750.333,2779,3,GY,1,100,-1.038
1574950483.516068,19785.000,2779,3,GY,1,100,-1.892
1574950483.556911,19819.333,2798,3,GY,1,100,-2.075
1574950483.597754,19853.667,2798,3,GY,1,100,-2.594
1574950483.638597,19888.000,2798,3,GY,1,100,-2.228
1574950483.680828,19923.500,2816,2,GY,1,100,-0.977
1574950483.723059,19959.000,2816,2,GY,1,100,-0.946
1574950483.764694,19994.000,2834,3,GY,1,100,-1.038
1574950483.806330,20029.000,2834,3,GY,1,100,0.641
1574950483.847966,20064.000,2834,3,GY,1,100,0.916
1574950483.886034,20096.000,2852,3,GY,1,100,0.671
1574950483.924101,20128.000,2852,3,GY,1,100,0.214
1574950483.962168,20160.000,2852,3,GY,1,100,-0.854
1574950484.002218,20193.667,2870,3,GY,1,100,-1.434
1574950484.042268,20227.333,2870,3,GY,1,100,-0.977
1574950484.082317,20261.000,2870,3,GY,1,100,-0.336
1574950484.123557,20295.667,2888,3,GY,1,100,2.075
1574950484.164796,20330.333,2888,3,GY,1,100,-2.045
1574950484.206035,20365.000,2888,3,GY,1,100,-8.789
1574950484.247275,20399.667,2905,3,GY,1,100,0.671
1574950484.288514,20434.333,2905,3,GY,1,100,7.019
1574950484.329754,20469.000,2905,3,GY,1,100,5.737
1574950484.369407,20502.333,2923,3,GY,1,100,0.824
1574950484.409060,20535.667,2923,3,GY,1,100,-1.221
1574950484.448714,20569.000,2923,3,GY,1,100,3.082
1574950484.486781,20601.000,2941,3,GY,1,100,6.714
1574950484.524848,20633.000,2941,3,GY,1,100,4.883
1574950484.562915,20665.000,2941,3,GY,1,100,2.625
1574950484.602568,20698.333,2958,3,GY,1,100,3.906
1574950484.642221,20731.667,2958,3,GY,1,100,2.655
1574950484.681875,20765.000,2958,3,GY,1,100,0.824
1574950484.727079,20803.000,2976,3,GY,1,100,3.265
1574950484.772284,20841.000,2976,3,GY,1,100,9.918
1574950484.817489,20879.000,2976,3,GY,1,100,14.038
1574950484.858728,20913.667,2994,3,GY,1,100,11.902
1574950484.899968,20948.333,2994,3,GY,1,100,4.883
1574950484.941207,20983.000,2994,3,GY,1,100,4.578
1574950484.980067,21015.667,3012,3,GY,1,100,3.418
1574950485.018928,21048.333,3012,3,GY,1,100,-1.038
1574950485.057788,21081.000,3012,3,GY,1,100,0.977
1574950485.096251,21113.333,3030,3,GY,1,100,7.507
1574950485.134715,21145.667,3030,3,GY,1,100,8.667
1574950485.173179,21178.000,3030,3,GY,1,100,9.735
1574950485.211643,21210.333,3048,3,GY,1,100,11.261
1574950485.250106,21242.667,3048,3,GY,1,100,12.878
1574950485.288570,21275.000,3048,3,GY,1,100,4.822
1574950485.329809,21309.667,3066,3,GY,1,100,-8.484
1574950485.371049,21344.333,3066,3,GY,1,100,-12.939
1574950485.412288,21379.000,3066,3,GY,1,100,0.214
1574950485.457096,21416.667,3084,3,GY,1,100,9.552
1574950485.501904,21454.333,3084,3,GY,1,100,6.836
1574950485.546713,21492.000,3084,3,GY,1,100,9.827
1574950485.585176,21524.333,3102,3,GY,1,100,6.287
1574950485.623640,21556.667,3102,3,GY,1,100,-1.923
1574950485.662104,21589.000,3102,3,GY,1,100,-2.655
1574950485.709687,21629.000,3118,2,GY,1,100,-0.610
1574950485.757272,21669.000,3118,2,GY,1,100,0.031
1574950485.796528,21702.000,3136,4,GY,1,100,0.366
1574950485.835785,21735.000,3136,4,GY,1,100,1.160
1574950485.875042,21768.000,3136,4,GY,1,100,2.197
1574950485.914299,21801.000,3136,4,GY,1,100,1.892
1574950485.961287,21840.500,3154,2,GY,1,100,-2.106
1574950486.008277,21880.000,3154,2,GY,1,100,0.397
1574950486.047534,21913.000,3172,3,GY,1,100,1.099
1574950486.086790,21946.000,3172,3,GY,1,100,-1.190
