EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1572449218.363916,69841.125,11703,8,GZ,1,100,2.533
1572449218.380350,69854.000,11703,8,GZ,1,100,2.533
1572449218.397104,69867.125,11721,8,GZ,1,100,1.556
1572449218.413857,69880.250,11721,8,GZ,1,100,-0.122
1572449218.430610,69893.375,11721,8,GZ,1,100,-1.648
1572449218.447363,69906.500,11721,8,GZ,1,100,-0.916
1572449218.464117,69919.625,11721,8,GZ,1,100,0.458
1572449218.480870,69932.750,11721,8,GZ,1,100,-0.488
1572449218.497623,69945.875,11721,8,GZ,1,100,-1.434
1572449218.514376,69959.000,11721,8,GZ,1,100,-1.465
1572449218.530810,69971.875,11740,8,GZ,1,100,-1.678
1572449218.547245,69984.750,11740,8,GZ,1,100,-1.007
1572449218.563679,69997.625,11740,8,GZ,1,100,0.153
1572449218.580113,70010.500,11740,8,GZ,1,100,0.397
1572449218.596547,70023.375,11740,8,GZ,1,100,-0.244
1572449218.612981,70036.250,11740,8,GZ,1,100,-0.366
1572449218.629415,70049.125,11740,8,GZ,1,100,0.244
1572449218.645849,70062.000,11740,8,GZ,1,100,-0.092
1572449218.662261,70074.857,11758,7,GZ,1,100,-0.732
1572449218.678672,70087.714,11758,7,GZ,1,100,-1.617
1572449218.695083,70100.571,11758,7,GZ,1,100,-1.434
1572449218.711495,70113.429,11758,7,GZ,1,100,-0.916
1572449218.727906,70126.286,11758,7,GZ,1,100,0.244
1572449218.744317,70139.143,11758,7,GZ,1,100,0.580
1572449218.760729,70152.000,11758,7,GZ,1,100,0.458
1572449218.777003,70164.750,11776,8,GZ,1,100,-1.984
1572449218.793278,70177.500,11776,8,GZ,1,100,-2.350
1572449218.809552,70190.250,11776,8,GZ,1,100,-0.885
1572449218.825827,70203.000,11776,8,GZ,1,100,-0.153
1572449218.842101,70215.750,11776,8,GZ,1,100,-1.617
1572449218.858376,70228.500,11776,8,GZ,1,100,-2.441
1572449218.874650,70241.250,11776,8,GZ,1,100,-2.594
1572449218.890925,70254.000,11776,8,GZ,1,100,-2.075
1572449218.907519,70267.000,11794,8,GZ,1,100,-2.258
1572449218.924112,70280.000,11794,8,GZ,1,100,-0.549
1572449218.940706,70293.000,11794,8,GZ,1,100,0.214
