EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1576864524.615865,53469.000,8851,3,AY,1,100,-0.042
1576864524.661095,53507.000,8870,3,AY,1,100,-0.043
1576864524.706326,53545.000,8870,3,AY,1,100,-0.041
1576864524.751556,53583.000,8870,3,AY,1,100,-0.023
1576864524.792819,53617.667,8888,3,AY,1,100,-0.031
1576864524.834081,53652.333,8888,3,AY,1,100,-0.036
1576864524.875344,53687.000,8888,3,AY,1,100,-0.033
1576864524.916210,53721.333,8906,3,AY,1,100,-0.033
1576864524.957076,53755.667,8906,3,AY,1,100,-0.022
1576864524.997941,53790.000,8906,3,AY,1,100,-0.019
1576864525.035633,53821.667,8924,3,AY,1,100,-0.020
1576864525.073325,53853.333,8924,3,AY,1,100,-0.031
1576864525.111017,53885.000,8924,3,AY,1,100,-0.023
1576864525.148709,53916.667,8942,3,AY,1,100,-0.053
1576864525.186401,53948.333,8942,3,AY,1,100,-0.038
1576864525.224092,53980.000,8942,3,AY,1,100,-0.015
1576864525.264958,54014.333,8959,3,AY,1,100,-0.041
1576864525.305824,54048.667,8959,3,AY,1,100,-0.016
1576864525.346690,54083.000,8959,3,AY,1,100,-0.025
1576864525.387953,54117.667,8977,3,AY,1,100,-0.034
1576864525.429215,54152.333,8977,3,AY,1,100,-0.035
1576864525.470478,54187.000,8977,3,AY,1,100,-0.036
1576864525.515708,54225.000,8993,3,AY,1,100,-0.034
1576864525.560939,54263.000,8993,3,AY,1,100,-0.040
1576864525.606169,54301.000,8993,3,AY,1,100,-0.063
1576864525.643861,54332.667,9012,3,AY,1,100,-0.040
1576864525.681552,54364.333,9012,3,AY,1,100,-0.046
1576864525.719244,54396.000,9012,3,AY,1,100,-0.039
1576864525.758126,54428.667,9030,3,AY,1,100,-0.035
1576864525.797009,54461.333,9030,3,AY,1,100,-0.052
1576864525.835891,54494.000,9030,3,AY,1,100,-0.049
1576864525.876756,54528.333,9048,3,AY,1,100,-0.030
1576864525.917622,54562.667,9048,3,AY,1,100,-0.051
1576864525.958488,54597.000,9048,3,AY,1,100,-0.041
1576864525.999751,54631.667,9066,3,AY,1,100,-0.048
1576864526.041013,54666.333,9066,3,AY,1,100,-0.028
1576864526.082276,54701.000,9066,3,AY,1,100,-0.052
1576864526.123142,54735.333,9084,3,AY,1,100,-0.046
1576864526.164008,54769.667,9084,3,AY,1,100,-0.035
1576864526.204874,54804.000,9084,3,AY,1,100,-0.039
1576864526.243756,54836.667,9102,3,AY,1,100,-0.041
1576864526.282638,54869.333,9102,3,AY,1,100,-0.037
1576864526.321520,54902.000,9102,3,AY,1,100,-0.028
1576864526.362783,54936.667,9120,3,AY,1,100,-0.030
1576864526.404046,54971.333,9120,3,AY,1,100,-0.047
1576864526.445308,55006.000,9120,3,AY,1,100,-0.046
1576864526.486174,55040.333,9137,3,AY,1,100,-0.050
1576864526.527040,55074.667,9137,3,AY,1,100,-0.058
1576864526.567906,55109.000,9137,3,AY,1,100,-0.034
1576864526.608375,55143.000,9156,3,AY,1,100,-0.045
1576864526.648844,55177.000,9156,3,AY,1,100,-0.257
1576864526.689313,55211.000,9156,3,AY,1,100,-0.257
1576864526.730973,55246.000,9172,2,AY,1,100,-0.101
1576864526.772632,55281.000,9172,2,AY,1,100,-0.096
1576864526.811316,55313.500,9190,4,AY,1,100,-0.232
1576864526.849999,55346.000,9190,4,AY,1,100,-0.225
1576864526.888683,55378.500,9190,4,AY,1,100,-0.208
1576864526.927367,55411.000,9190,4,AY,1,100,-0.268
1576864526.965059,55442.667,9208,3,AY,1,100,-0.281
1576864527.002751,55474.333,9208,3,AY,1,100,-0.225
1576864527.040442,55506.000,9208,3,AY,1,100,-0.285
1576864527.080118,55539.333,9226,3,AY,1,100,-0.269
1576864527.119794,55572.667,9226,3,AY,1,100,-0.187
1576864527.159469,55606.000,9226,3,AY,1,100,-0.146
1576864527.206485,55645.500,9244,2,AY,1,100,-0.182
1576864527.253500,55685.000,9244,2,AY,1,100,-0.303
1576864527.294763,55719.667,9262,3,AY,1,100,-0.270
1576864527.336026,55754.333,9262,3,AY,1,100,-0.285
1576864527.377289,55789.000,9262,3,AY,1,100,-0.227
1576864527.417361,55822.667,9280,3,AY,1,100,-0.252
1576864527.457433,55856.333,9280,3,AY,1,100,-0.170
1576864527.497506,55890.000,9280,3,AY,1,100,-0.236
1576864527.535297,55921.750,9298,4,AY,1,100,-0.250
1576864527.573088,55953.500,9298,4,AY,1,100,-0.322
1576864527.610879,55985.250,9298,4,AY,1,100,-0.157
1576864527.648670,56017.000,9298,4,AY,1,100,-0.242
1576864527.689139,56051.000,9317,3,AY,1,100,-0.041
1576864527.729608,56085.000,9317,3,AY,1,100,-0.175
1576864527.770077,56119.000,9317,3,AY,1,100,-0.430
1576864527.810943,56153.333,9334,3,AY,1,100,-0.502
1576864527.851809,56187.667,9334,3,AY,1,100,-0.645
1576864527.892675,56222.000,9334,3,AY,1,100,-0.702
1576864527.933938,56256.667,9352,3,AY,1,100,-0.381
1576864527.975200,56291.333,9352,3,AY,1,100,-0.607
1576864528.016463,56326.000,9352,3,AY,1,100,-0.508
1576864528.062883,56365.000,9368,2,AY,1,100,-0.283
1576864528.109304,56404.000,9368,2,AY,1,100,-0.561
1576864528.147154,56435.800,9389,5,AY,1,100,-0.381
1576864528.185005,56467.600,9389,5,AY,1,100,-0.289
1576864528.222855,56499.400,9389,5,AY,1,100,-0.502
1576864528.260706,56531.200,9389,5,AY,1,100,-0.349
1576864528.298556,56563.000,9389,5,AY,1,100,-0.286
1576864528.338232,56596.333,9409,3,AY,1,100,-0.190
1576864528.377908,56629.667,9409,3,AY,1,100,0.260
1576864528.417583,56663.000,9409,3,AY,1,100,0.397
1576864528.458846,56697.667,9426,3,AY,1,100,-2.546
1576864528.500108,56732.333,9426,3,AY,1,100,0.061
1576864528.541371,56767.000,9426,3,AY,1,100,-1.487
1576864528.582634,56801.667,9445,3,AY,1,100,-1.076
1576864528.623897,56836.333,9445,3,AY,1,100,-0.508
1576864528.665159,56871.000,9445,3,AY,1,100,-0.488
1576864528.704438,56904.000,9461,3,AY,1,100,-0.187
1576864528.743717,56937.000,9461,3,AY,1,100,-0.315
1576864528.782996,56970.000,9461,3,AY,1,100,-0.258
1576864528.825052,57005.333,9479,3,AY,1,100,-0.179
1576864528.867108,57040.667,9479,3,AY,1,100,-0.135
1576864528.909164,57076.000,9479,3,AY,1,100,0.042
1576864528.948840,57109.333,9497,3,AY,1,100,0.314
1576864528.988516,57142.667,9497,3,AY,1,100,0.308
1576864529.028191,57176.000,9497,3,AY,1,100,-5.720
1576864529.069850,57211.000,9515,3,AY,1,100,0.625
1576864529.111510,57246.000,9515,3,AY,1,100,-0.924
