EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1576863931.618237,115417.000,20242,2,AK,1,100,20240
1576863934.552146,117890.000,20242,2,AK,1,100,RD
1576863934.648243,117971.000,20262,2,AK,1,100,20240
1576863934.744339,118052.000,20262,2,AK,1,100,RD
1576863937.678842,120525.500,21138,2,AK,1,100,21136
1576863940.613344,122999.000,21138,2,AK,1,100,RD
1576863940.709441,123080.000,21158,2,AK,1,100,21136
1576863940.805537,123161.000,21158,2,AK,1,100,RD
1576863943.738261,125633.000,22035,2,AK,1,100,22033
1576863946.670984,128105.000,22035,2,AK,1,100,RD
1576863946.766487,128185.500,22055,2,AK,1,100,22033
1576863946.861990,128266.000,22055,2,AK,1,100,RD
1576863949.796493,130739.500,22931,2,AK,1,100,22929
1576863952.730996,133213.000,22931,2,AK,1,100,RD
1576863952.887598,133345.000,22969,2,AK,1,100,22929
1576863953.044199,133477.000,22969,2,AK,1,100,RD
1576863955.917603,135899.000,23774,2,AK,1,100,23772
1576863958.791008,138321.000,23774,2,AK,1,100,RD
1576863958.897188,138410.500,23794,2,AK,1,100,23772
1576863959.003369,138500.000,23794,2,AK,1,100,RD
1576863961.926601,140964.000,24670,2,AK,1,100,24668
1576863964.849833,143428.000,24670,2,AK,1,100,RD
1576863964.948896,143511.500,24690,2,AK,1,100,24668
1576863965.047958,143595.000,24690,2,AK,1,100,RD
1576863969.029438,146951.000,25053,2,AK,1,100,25051
1576863973.010918,150307.000,25053,2,AK,1,100,RD
1576863974.564479,151616.500,25092,2,AK,1,100,25051
1576863976.118039,152926.000,25092,2,AK,1,100,RD
1576863977.558300,154140.000,25524,2,AK,1,100,25522
1576863978.998561,155354.000,25524,2,AK,1,100,RD
1576863979.070930,155415.000,25545,2,AK,1,100,25522
1576863979.143299,155476.000,25545,2,AK,1,100,RD
1576863982.084920,157955.500,26422,2,AK,1,100,26420
1576863985.026541,160435.000,26422,2,AK,1,100,RD
1576863985.112554,160507.500,26443,2,AK,1,100,26420
1576863985.198566,160580.000,26443,2,AK,1,100,RD
1576863988.139000,163058.500,27318,2,AK,1,100,27316
1576863991.079435,165537.000,27318,2,AK,1,100,RD
1576863991.171973,165615.000,27339,2,AK,1,100,27316
1576863991.264510,165693.000,27339,2,AK,1,100,RD
1576863994.201385,168168.500,28217,2,AK,1,100,28215
1576863997.138261,170644.000,28217,2,AK,1,100,RD
1576863997.233764,170724.500,28237,2,AK,1,100,28215
1576863997.329267,170805.000,28237,2,AK,1,100,RD
1576864000.263770,173278.500,29113,2,AK,1,100,29111
1576864003.198273,175752.000,29113,2,AK,1,100,RD
1576864003.308012,175844.500,29133,2,AK,1,100,29111
1576864003.417752,175937.000,29133,2,AK,1,100,RD
1576864006.338018,178398.500,30010,2,AK,1,100,30008
1576864009.258285,180860.000,30010,2,AK,1,100,RD
1576864009.352008,180939.000,30030,2,AK,1,100,30008
1576864009.445732,181018.000,30030,2,AK,1,100,RD
1576864012.383201,183494.000,30906,2,AK,1,100,30904
1576864015.320669,185970.000,30906,2,AK,1,100,RD
1576864015.414393,186049.000,30926,2,AK,1,100,30904
1576864015.508117,186128.000,30926,2,AK,1,100,RD
1576864018.443213,188602.000,31803,2,AK,1,100,31801
1576864021.378309,191076.000,31803,2,AK,1,100,RD
1576864021.475592,191158.000,31823,2,AK,1,100,31801
1576864021.572875,191240.000,31823,2,AK,1,100,RD
1576864024.517461,193722.000,32701,2,AK,1,100,32699
1576864027.462048,196204.000,32701,2,AK,1,100,RD
1576864027.547467,196276.000,32721,2,AK,1,100,32699
1576864027.632886,196348.000,32721,2,AK,1,100,RD
1576864030.566203,198820.500,33597,2,AK,1,100,33595
1576864033.499519,201293.000,33597,2,AK,1,100,RD
1576864033.593243,201372.000,33617,2,AK,1,100,33595
1576864033.686967,201451.000,33617,2,AK,1,100,RD
