EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,H0
1574714569.996935,183477.000,31684,1,H0,1,100,93.056
1574714570.134930,183593.000,31702,1,H0,1,100,93.060
1574714570.268166,183705.000,31720,1,H0,1,100,93.060
1574714570.391885,183809.000,31738,1,H0,1,100,93.064
1574714570.526310,183922.000,31756,1,H0,1,100,93.056
1574714570.664304,184038.000,31774,1,H0,1,100,93.064
1574714570.802299,184154.000,31808,1,H0,1,100,93.060
1574714570.930776,184262.000,31826,1,H0,1,100,93.072
1574714571.058064,184369.000,31844,1,H0,1,100,93.056
1574714571.193679,184483.000,31862,1,H0,1,100,93.068
1574714571.329295,184597.000,31880,1,H0,1,100,93.068
1574714571.466099,184712.000,31899,1,H0,1,100,93.064
1574714571.591008,184817.000,31917,1,H0,1,100,93.056
1574714571.724244,184929.000,31934,1,H0,1,100,93.060
1574714571.858670,185042.000,31952,1,H0,1,100,93.056
1574714571.996664,185158.000,31986,1,H0,1,100,93.056
1574714572.128710,185269.000,32004,1,H0,1,100,93.064
1574714572.257188,185377.000,32022,1,H0,1,100,93.064
1574714572.383286,185483.000,32041,1,H0,1,100,93.060
1574714572.514143,185593.000,32059,1,H0,1,100,93.056
1574714572.649758,185707.000,32077,1,H0,1,100,93.056
1574714572.784183,185820.000,32095,1,H0,1,100,93.056
1574714572.922178,185936.000,32112,1,H0,1,100,93.056
1574714573.049465,186043.000,32130,1,H0,1,100,93.056
1574714573.181512,186154.000,32148,1,H0,1,100,93.056
1574714573.309989,186262.000,32166,1,H0,1,100,93.060
1574714573.444415,186375.000,32201,1,H0,1,100,93.060
1574714573.577651,186487.000,32219,1,H0,1,100,93.064
1574714573.719214,186606.000,32237,1,H0,1,100,93.056
1574714573.845312,186712.000,32258,2,H0,1,100,93.068
1574714573.971411,186818.000,32258,2,H0,1,100,93.060
1574714574.108215,186933.000,32294,1,H0,1,100,93.056
1574714574.245020,187048.000,32312,1,H0,1,100,93.060
1574714574.378256,187160.000,32331,1,H0,1,100,93.056
