EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1574713524.941347,568217.000,33661,1,B%,1,100, 3
1574713525.954206,569069.000,33805,1,B%,1,100, 2
1574713526.958743,569914.000,33947,1,B%,1,100, 6
1574713527.960903,570757.000,34111,1,B%,1,100, 4
1574713528.964252,571601.000,34257,1,B%,1,100, 5
1574713529.953335,572433.000,34400,1,B%,1,100, 6
1574713530.953117,573274.000,34542,1,B%,1,100, 5
1574713531.950522,574113.000,34684,1,B%,1,100, 3
1574713532.953870,574957.000,34844,1,B%,1,100, 5
1574713533.970296,575812.000,34986,1,B%,1,100, 5
1574713534.960568,576645.000,35133,1,B%,1,100, 3
1574713535.955595,577482.000,35275,1,B%,1,100, 5
1574713536.939923,578310.000,35419,1,B%,1,100, 4
1574713537.939705,579151.000,35580,1,B%,1,100, 3
1574713538.935921,579989.000,35722,1,B%,1,100, 1
1574713539.946402,580839.000,35864,1,B%,1,100, 2
1574713540.954506,581687.000,36012,1,B%,1,100, 5
1574713541.945967,582521.000,36172,1,B%,1,100, 4
1574713542.954071,583369.000,36314,1,B%,1,100, 3
1574713543.946720,584204.000,36456,1,B%,1,100, 3
1574713544.939369,585039.000,36600,1,B%,1,100, 4
1574713545.941530,585882.000,36761,1,B%,1,100, 4
1574713546.941312,586723.000,36907,1,B%,1,100, 5
1574713547.930395,587555.000,37052,1,B%,1,100, 2
1574713548.946820,588410.000,37194,1,B%,1,100, 1
1574713549.957302,589260.000,37354,1,B%,1,100, 3
1574713550.948762,590094.000,37496,1,B%,1,100, 4
1574713551.944978,590932.000,37638,1,B%,1,100, 3
1574713552.950705,591778.000,37786,1,B%,1,100, 2
1574713553.944543,592614.000,37928,1,B%,1,100, 4
1574713554.943136,593454.000,38088,1,B%,1,100, 3
1574713555.944107,594296.000,38232,1,B%,1,100, 3
1574713556.949834,595142.000,38375,1,B%,1,100, 3
1574713557.941294,595976.000,38535,1,B%,1,100, 3
1574713558.950587,596825.000,38665,1,B%,1,100, 4
1574713559.937292,597655.000,38826,1,B%,1,100, 4
1574713560.941830,598500.000,38968,1,B%,1,100, 2
1574713561.940423,599340.000,39110,1,B%,1,100, 3
1574713562.943772,600184.000,39270,1,B%,1,100, 3
1574713563.944743,601026.000,39414,1,B%,1,100, 3
1574713564.932637,601857.000,39559,1,B%,1,100, 3
1574713565.941930,602706.000,39703,1,B%,1,100, 3
1574713566.932202,603539.000,39846,1,B%,1,100, 1
1574713567.947438,604393.000,40006,1,B%,1,100, 3
1574713568.953165,605239.000,40148,1,B%,1,100, 3
1574713569.949381,606077.000,40290,1,B%,1,100, 4
1574713570.943219,606913.000,40440,1,B%,1,100, 3
1574713571.948945,607759.000,40600,1,B%,1,100, 3
1574713572.951105,608602.000,40742,1,B%,1,100, 3
1574713573.941377,609435.000,40884,1,B%,1,100, 2
1574713574.947103,610281.000,41046,1,B%,1,100, 2
1574713575.961151,611134.000,41135,1,B%,1,100, 1
1574713576.950234,611966.000,41283,1,B%,1,100, 3
1574713577.951205,612808.000,41427,1,B%,1,100, 2
1574713578.949799,613648.000,41570,1,B%,1,100, 1
1574713579.941259,614482.000,41730,1,B%,1,100, 1
1574713580.937475,615320.000,41872,1,B%,1,100, 1
1574713581.946768,616169.000,42014,1,B%,1,100, 3
1574713582.932284,616998.000,42164,1,B%,1,100, 4
1574713583.932067,617839.000,42306,1,B%,1,100, 1
1574713584.938982,618686.000,42468,1,B%,1,100, 2
1574713585.938764,619527.000,42610,1,B%,1,100, 3
1574713586.942113,620371.000,42753,1,B%,1,100, 3
1574713587.939517,621210.000,42913,1,B%,1,100, 2
1574713588.936922,622049.000,43044,1,B%,1,100, 1
1574713589.931949,622886.000,43204,1,B%,1,100, 1
1574713590.944808,623738.000,43346,1,B%,1,100, 3
1574713591.955290,624588.000,43488,1,B%,1,100, 2
1574713592.944373,625420.000,43648,1,B%,1,100, 1
1574713593.942966,626260.000,43792,1,B%,1,100, 3
1574713594.929672,627090.000,43937,1,B%,1,100, 3
1574713595.942531,627942.000,44081,1,B%,1,100, 2
1574713596.938746,628780.000,44224,1,B%,1,100, 2
1574713597.944473,629626.000,44384,1,B%,1,100, 2
1574713598.945444,630468.000,44526,1,B%,1,100, 2
1574713599.932149,631298.000,44668,1,B%,1,100, 1
1574713600.942631,632148.000,44815,1,B%,1,100, 1
1574713601.936469,632984.000,44959,1,B%,1,100, 1
1574713602.933874,633823.000,45119,1,B%,1,100, 3
1574713603.936033,634666.000,45263,1,B%,1,100, 1
1574713604.937005,635508.000,45405,1,B%,1,100, 2
1574713605.928465,636342.000,45566,1,B%,1,100, 1
1574713606.942513,637195.000,45711,1,B%,1,100, 1
1574713607.950617,638043.000,45855,1,B%,1,100, 4
1574713608.942078,638877.000,45998,1,B%,1,100, 2
1574713609.941860,639718.000,46158,1,B%,1,100, 1
1574713610.946398,640563.000,46300,1,B%,1,100, 1
1574713611.937858,641397.000,46442,1,B%,1,100, 2
1574713612.937640,642238.000,46586,1,B%,1,100, 2
1574713613.937423,643079.000,46733,1,B%,1,100, 2
1574713614.950282,643931.000,46893,1,B%,1,100, 2
1574713615.940554,644764.000,47037,1,B%,1,100, 2
1574713616.952224,645615.000,47180,1,B%,1,100, 2
1574713617.934174,646441.000,47340,1,B%,1,100, 1
1574713618.932768,647281.000,47482,1,B%,1,100, 1
1574713619.931361,648121.000,47630,1,B%,1,100, 4
1574713620.928766,648960.000,47772,1,B%,1,100, 1
1574713621.938058,649809.000,47914,1,B%,1,100, 1
1574713622.940218,650652.000,48074,1,B%,1,100, 2
1574713623.942378,651495.000,48218,1,B%,1,100, 1
1574713624.931461,652327.000,48361,1,B%,1,100, 2
1574713625.939565,653175.000,48510,1,B%,1,100, 1
1574713626.939347,654016.000,48653,1,B%,1,100, 1
1574713627.935563,654854.000,48813,1,B%,1,100, 1
1574713628.930590,655691.000,48955,1,B%,1,100, 1
1574713629.933939,656535.000,49097,1,B%,1,100, 3
1574713630.943232,657384.000,49257,1,B%,1,100, 1
1574713631.939447,658222.000,49386,1,B%,1,100, 1
