EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1574714558.289622,173635.667,29955,3,PI,1,100,193523
1574714558.327293,173667.333,29955,3,PI,1,100,193576
1574714558.364964,173699.000,29955,3,PI,1,100,193605
1574714558.405014,173732.667,29974,3,PI,1,100,193665
1574714558.445064,173766.333,29974,3,PI,1,100,193528
1574714558.485114,173800.000,29974,3,PI,1,100,193075
1574714558.526354,173834.667,29990,3,PI,1,100,193083
1574714558.567593,173869.333,29990,3,PI,1,100,193380
1574714558.608833,173904.000,29990,3,PI,1,100,193492
1574714558.650469,173939.000,30008,3,PI,1,100,193699
1574714558.692106,173974.000,30008,3,PI,1,100,194200
1574714558.733742,174009.000,30008,3,PI,1,100,194833
1574714558.772602,174041.667,30026,3,PI,1,100,195040
1574714558.811463,174074.333,30026,3,PI,1,100,194926
1574714558.850323,174107.000,30026,3,PI,1,100,194345
1574714558.887994,174138.667,30044,3,PI,1,100,193774
1574714558.925665,174170.333,30044,3,PI,1,100,193617
1574714558.963336,174202.000,30044,3,PI,1,100,193546
1574714559.003782,174236.000,30062,3,PI,1,100,193401
1574714559.044229,174270.000,30062,3,PI,1,100,193308
1574714559.084676,174304.000,30062,3,PI,1,100,193331
1574714559.126312,174339.000,30080,3,PI,1,100,193283
1574714559.167948,174374.000,30080,3,PI,1,100,193027
1574714559.209584,174409.000,30080,3,PI,1,100,192930
1574714559.255186,174447.333,30098,3,PI,1,100,192886
1574714559.300787,174485.667,30098,3,PI,1,100,193019
1574714559.346389,174524.000,30098,3,PI,1,100,193351
1574714559.385646,174557.000,30115,3,PI,1,100,194163
1574714559.424903,174590.000,30115,3,PI,1,100,194789
1574714559.464160,174623.000,30115,3,PI,1,100,195025
1574714559.501434,174654.333,30134,3,PI,1,100,195112
1574714559.538709,174685.667,30134,3,PI,1,100,195114
1574714559.575983,174717.000,30134,3,PI,1,100,195102
1574714559.614050,174749.000,30152,3,PI,1,100,195001
1574714559.652118,174781.000,30152,3,PI,1,100,194597
1574714559.690185,174813.000,30152,3,PI,1,100,193803
1574714559.730632,174847.000,30168,3,PI,1,100,193311
