EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1574714559.326166,174507.000,30113,2,MY,1,100, 1
1574714559.365125,174539.750,30131,4,MY,1,100, 0
1574714559.404085,174572.500,30131,4,MY,1,100, 0
1574714559.443044,174605.250,30131,4,MY,1,100, 2
1574714559.482004,174638.000,30131,4,MY,1,100, 2
1574714559.520072,174670.000,30150,3,MY,1,100, 1
1574714559.558139,174702.000,30150,3,MY,1,100,-2
1574714559.596206,174734.000,30150,3,MY,1,100,-2
1574714559.643196,174773.500,30166,2,MY,1,100,-0
1574714559.690185,174813.000,30166,2,MY,1,100,-1
1574714559.730632,174847.000,30184,3,MY,1,100,-2
1574714559.771079,174881.000,30184,3,MY,1,100,-3
1574714559.811525,174915.000,30184,3,MY,1,100,-4
1574714559.852368,174949.333,30202,3,MY,1,100,-3
