EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1574868221.959671,565836.000,33724,2,RD,1,100,TU
1574868224.996834,568390.000,34620,2,RD,1,100,TL
1574868228.033998,570944.000,34620,2,RD,1,100,TU
1574868231.071161,573498.000,35518,2,RD,1,100,TL
1574868234.108325,576052.000,35518,2,RD,1,100,TU
1574868237.145488,578606.000,36414,2,RD,1,100,TL
1574868240.182652,581160.000,36414,2,RD,1,100,TU
1574868243.219815,583714.000,37311,2,RD,1,100,TL
1574868246.256979,586268.000,37311,2,RD,1,100,TU
1574868249.294142,588822.000,38207,2,RD,1,100,TL
1574868252.331306,591376.000,38207,2,RD,1,100,TU
1574868255.368469,593930.000,39103,2,RD,1,100,TL
1574868258.405632,596484.000,39103,2,RD,1,100,TU
1574868261.442796,599038.000,39999,2,RD,1,100,TL
1574868264.479959,601592.000,39999,2,RD,1,100,TU
1574868267.517123,604146.000,40895,2,RD,1,100,TL
1574868270.554286,606700.000,40895,2,RD,1,100,TU
1574868273.591450,609254.000,41793,2,RD,1,100,TL
1574868276.628613,611808.000,41793,2,RD,1,100,TU
1574868279.665777,614362.000,42689,2,RD,1,100,TL
1574868282.702940,616916.000,42689,2,RD,1,100,TU
1574868285.740103,619470.000,43588,2,RD,1,100,TL
1574868288.777267,622024.000,43588,2,RD,1,100,TU
1574868291.814430,624578.000,44484,2,RD,1,100,TL
1574868294.851594,627132.000,44484,2,RD,1,100,TU
1574868297.888757,629686.000,45380,2,RD,1,100,TL
1574868300.925921,632240.000,45380,2,RD,1,100,TU
1574868303.963084,634794.000,46276,2,RD,1,100,TL
1574868307.000248,637348.000,46276,2,RD,1,100,TU
1574868310.037411,639902.000,47172,2,RD,1,100,TL
1574868313.074575,642456.000,47172,2,RD,1,100,TU
1574868316.111738,645010.000,48068,2,RD,1,100,TL
1574868319.148902,647564.000,48068,2,RD,1,100,TU
1574868322.186065,650118.000,48964,2,RD,1,100,TL
1574868325.223228,652672.000,48964,2,RD,1,100,TU
1574868328.260392,655226.000,49860,2,RD,1,100,TL
1574868331.297555,657780.000,49860,2,RD,1,100,TU
1574868334.334719,660334.000,50756,2,RD,1,100,TL
1574868337.371882,662888.000,50756,2,RD,1,100,TU
