EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1574868623.339363,49305.000,8227,1,EA,1,100,0.599955
1574868623.408260,49363.000,8244,2,EA,1,100,0.599578
1574868623.477158,49421.000,8244,2,EA,1,100,0.599674
1574868623.544867,49478.000,8262,2,EA,1,100,0.599525
1574868623.612577,49535.000,8262,2,EA,1,100,0.599694
1574868623.676129,49588.500,8278,2,EA,1,100,0.599863
1574868623.739681,49642.000,8278,2,EA,1,100,0.599941
1574868623.803827,49696.000,8296,2,EA,1,100,0.600299
1574868623.867973,49750.000,8296,2,EA,1,100,0.599896
1574868623.934494,49806.000,8314,1,EA,1,100,0.599981
1574868624.003392,49864.000,8332,2,EA,1,100,0.599765
1574868624.072289,49922.000,8332,2,EA,1,100,0.599744
1574868624.141187,49980.000,8351,2,EA,1,100,0.599755
1574868624.210084,50038.000,8351,2,EA,1,100,0.599552
1574868624.273637,50091.500,8369,2,EA,1,100,0.599700
1574868624.337188,50145.000,8369,2,EA,1,100,0.599423
1574868624.401928,50199.500,8387,2,EA,1,100,0.599741
1574868624.466668,50254.000,8387,2,EA,1,100,0.599573
1574868624.533190,50310.000,8405,1,EA,1,100,0.599910
1574868624.602087,50368.000,8422,2,EA,1,100,0.599969
1574868624.670985,50426.000,8422,2,EA,1,100,0.600144
1574868624.738695,50483.000,8440,2,EA,1,100,0.600145
1574868624.806404,50540.000,8440,2,EA,1,100,0.599979
1574868624.871144,50594.500,8458,2,EA,1,100,0.600056
1574868624.935884,50649.000,8458,2,EA,1,100,0.599643
1574868624.998842,50702.000,8474,2,EA,1,100,0.599947
1574868625.061800,50755.000,8474,2,EA,1,100,0.599471
1574868625.130104,50812.500,8493,2,EA,1,100,0.599682
1574868625.198407,50870.000,8493,2,EA,1,100,0.599550
1574868625.267305,50928.000,8511,1,EA,1,100,0.599775
1574868625.335014,50985.000,8529,2,EA,1,100,0.599792
1574868625.402724,51042.000,8529,2,EA,1,100,0.599617
1574868625.469246,51098.000,8547,2,EA,1,100,0.599930
1574868625.535768,51154.000,8547,2,EA,1,100,0.599620
1574868625.599319,51207.500,8565,2,EA,1,100,0.599681
1574868625.662872,51261.000,8565,2,EA,1,100,0.599005
1574868625.729393,51317.000,8583,2,EA,1,100,0.599217
1574868625.795915,51373.000,8583,2,EA,1,100,0.598699
1574868625.869564,51435.000,8601,1,EA,1,100,0.598326
1574868625.936086,51491.000,8618,2,EA,1,100,0.598541
1574868626.002607,51547.000,8618,2,EA,1,100,0.599124
1574868626.070317,51604.000,8636,2,EA,1,100,0.599803
1574868626.138027,51661.000,8636,2,EA,1,100,0.599562
1574868626.201579,51714.500,8653,2,EA,1,100,0.597695
1574868626.265131,51768.000,8653,2,EA,1,100,0.597814
1574868626.328089,51821.000,8671,2,EA,1,100,0.598233
1574868626.391047,51874.000,8671,2,EA,1,100,0.598181
1574868626.463508,51935.000,8689,1,EA,1,100,0.598870
1574868626.529436,51990.500,8707,2,EA,1,100,0.598585
1574868626.595364,52046.000,8707,2,EA,1,100,0.598627
1574868626.664261,52104.000,8725,2,EA,1,100,0.598559
1574868626.733159,52162.000,8725,2,EA,1,100,0.598604
1574868626.795523,52214.500,8743,2,EA,1,100,0.598972
1574868626.857887,52267.000,8743,2,EA,1,100,0.599373
1574868626.922033,52321.000,8761,2,EA,1,100,0.599472
1574868626.986179,52375.000,8761,2,EA,1,100,0.599669
1574868627.054482,52432.500,8782,2,EA,1,100,0.600494
1574868627.122786,52490.000,8782,2,EA,1,100,0.601619
1574868627.192871,52549.000,8803,2,EA,1,100,0.601481
1574868627.262957,52608.000,8803,2,EA,1,100,0.601997
1574868627.328884,52663.500,8821,2,EA,1,100,0.601671
1574868627.394812,52719.000,8821,2,EA,1,100,0.601928
1574868627.458364,52772.500,8839,2,EA,1,100,0.602111
1574868627.521916,52826.000,8839,2,EA,1,100,0.601837
1574868627.589032,52882.500,8857,2,EA,1,100,0.601869
1574868627.656147,52939.000,8857,2,EA,1,100,0.602017
1574868627.722669,52995.000,8875,1,EA,1,100,0.602990
1574868627.792161,53053.500,8892,2,EA,1,100,0.602905
1574868627.861652,53112.000,8892,2,EA,1,100,0.602918
1574868627.928174,53168.000,8910,2,EA,1,100,0.602971
1574868627.994696,53224.000,8910,2,EA,1,100,0.603305
1574868628.058248,53277.500,8928,2,EA,1,100,0.603119
1574868628.121799,53331.000,8928,2,EA,1,100,0.602860
1574868628.187133,53386.000,8945,2,EA,1,100,0.602943
