EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1574867960.875991,346286.500,60717,6,MZ,1,100,10
1574867960.913450,346318.000,60717,6,MZ,1,100, 9
1574867960.955666,346353.500,60740,2,MZ,1,100, 9
1574867960.997882,346389.000,60740,2,MZ,1,100,10
1574867961.038314,346423.000,60758,3,MZ,1,100,12
1574867961.078746,346457.000,60758,3,MZ,1,100,12
1574867961.119178,346491.000,60758,3,MZ,1,100,12
1574867961.160403,346525.667,60776,3,MZ,1,100,12
1574867961.201628,346560.333,60776,3,MZ,1,100,14
1574867961.242853,346595.000,60776,3,MZ,1,100,14
1574867961.282096,346628.000,60793,3,MZ,1,100,15
1574867961.321338,346661.000,60793,3,MZ,1,100,14
1574867961.360581,346694.000,60793,3,MZ,1,100,15
1574867961.400617,346727.667,60811,3,MZ,1,100,15
1574867961.440653,346761.333,60811,3,MZ,1,100,17
1574867961.480689,346795.000,60811,3,MZ,1,100,17
1574867961.520724,346828.667,60829,3,MZ,1,100,17
1574867961.560760,346862.333,60829,3,MZ,1,100,13
1574867961.600796,346896.000,60829,3,MZ,1,100,10
1574867961.641624,346930.333,60847,3,MZ,1,100, 5
1574867961.682453,346964.667,60847,3,MZ,1,100, 9
1574867961.723281,346999.000,60847,3,MZ,1,100, 9
1574867961.764902,347034.000,60863,3,MZ,1,100, 7
1574867961.806524,347069.000,60863,3,MZ,1,100,12
1574867961.848145,347104.000,60863,3,MZ,1,100,14
1574867961.888577,347138.000,60881,3,MZ,1,100,15
1574867961.929009,347172.000,60881,3,MZ,1,100,22
1574867961.969441,347206.000,60881,3,MZ,1,100,28
1574867962.010270,347240.333,60900,3,MZ,1,100,30
1574867962.051098,347274.667,60900,3,MZ,1,100,31
1574867962.091927,347309.000,60900,3,MZ,1,100,33
1574867962.131962,347342.667,60918,3,MZ,1,100,34
1574867962.171998,347376.333,60918,3,MZ,1,100,36
1574867962.212034,347410.000,60918,3,MZ,1,100,38
1574867962.249691,347441.667,60936,3,MZ,1,100,37
1574867962.287348,347473.333,60936,3,MZ,1,100,27
1574867962.325006,347505.000,60936,3,MZ,1,100,10
1574867962.364645,347538.333,60954,3,MZ,1,100, 3
1574867962.404284,347571.667,60954,3,MZ,1,100,-2
1574867962.443924,347605.000,60954,3,MZ,1,100,-4
1574867962.489112,347643.000,60971,3,MZ,1,100,-10
1574867962.534301,347681.000,60971,3,MZ,1,100,-15
1574867962.579490,347719.000,60971,3,MZ,1,100,-18
1574867962.621508,347754.333,60989,3,MZ,1,100,-20
1574867962.663525,347789.667,60989,3,MZ,1,100,-22
1574867962.705543,347825.000,60989,3,MZ,1,100,-22
1574867962.744786,347858.000,61006,3,MZ,1,100,-22
1574867962.784029,347891.000,61006,3,MZ,1,100,-20
1574867962.823272,347924.000,61006,3,MZ,1,100,-17
1574867962.861722,347956.333,61023,3,MZ,1,100,-21
1574867962.900172,347988.667,61023,3,MZ,1,100,-23
1574867962.938622,348021.000,61023,3,MZ,1,100,-22
1574867962.977469,348053.667,61042,3,MZ,1,100,-15
1574867963.016315,348086.333,61042,3,MZ,1,100,-7
1574867963.055162,348119.000,61042,3,MZ,1,100, 5
1574867963.095594,348153.000,61060,3,MZ,1,100,17
1574867963.136026,348187.000,61060,3,MZ,1,100,26
1574867963.176458,348221.000,61060,3,MZ,1,100,31
1574867963.217683,348255.667,61078,3,MZ,1,100,32
1574867963.258908,348290.333,61078,3,MZ,1,100,31
1574867963.300133,348325.000,61078,3,MZ,1,100,32
1574867963.341159,348359.500,61096,2,MZ,1,100,32
1574867963.382186,348394.000,61096,2,MZ,1,100,32
1574867963.422915,348428.250,61114,4,MZ,1,100,32
1574867963.463645,348462.500,61114,4,MZ,1,100,31
1574867963.504374,348496.750,61114,4,MZ,1,100,32
1574867963.545104,348531.000,61114,4,MZ,1,100,32
1574867963.584743,348564.333,61132,3,MZ,1,100,33
1574867963.624382,348597.667,61132,3,MZ,1,100,33
1574867963.664021,348631.000,61132,3,MZ,1,100,36
1574867963.705246,348665.667,61150,3,MZ,1,100,35
