EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1576518601.849353,34976.333,5594,3,PG,1,100,10138
1576518601.890175,35010.667,5594,3,PG,1,100,10110
1576518601.930996,35045.000,5594,3,PG,1,100,10118
1576518601.970629,35078.333,5612,3,PG,1,100,10131
1576518602.010262,35111.667,5612,3,PG,1,100,10158
1576518602.049895,35145.000,5612,3,PG,1,100,10166
1576518602.087942,35177.000,5629,4,PG,1,100,10138
1576518602.125989,35209.000,5629,4,PG,1,100,10057
1576518602.164037,35241.000,5629,4,PG,1,100,9991
1576518602.202084,35273.000,5629,4,PG,1,100,9968
1576518602.242113,35306.667,5647,3,PG,1,100,9950
1576518602.282142,35340.333,5647,3,PG,1,100,9921
1576518602.322171,35374.000,5647,3,PG,1,100,9921
1576518602.363786,35409.000,5665,2,PG,1,100,9910
1576518602.405400,35444.000,5665,2,PG,1,100,9897
1576518602.446618,35478.667,5683,3,PG,1,100,9894
1576518602.487836,35513.333,5683,3,PG,1,100,9889
1576518602.529054,35548.000,5683,3,PG,1,100,9895
1576518602.573443,35585.333,5701,3,PG,1,100,9906
1576518602.617831,35622.667,5701,3,PG,1,100,9924
1576518602.662220,35660.000,5701,3,PG,1,100,9979
1576518602.699871,35691.667,5719,3,PG,1,100,10001
1576518602.737522,35723.333,5719,3,PG,1,100,9935
1576518602.775173,35755.000,5719,3,PG,1,100,9886
1576518602.814410,35788.000,5737,3,PG,1,100,9869
1576518602.853646,35821.000,5737,3,PG,1,100,9839
1576518602.892883,35854.000,5737,3,PG,1,100,9788
1576518602.934101,35888.667,5755,3,PG,1,100,9765
1576518602.975319,35923.333,5755,3,PG,1,100,9787
1576518603.016537,35958.000,5755,3,PG,1,100,9767
1576518603.054981,35990.333,5773,3,PG,1,100,9759
1576518603.093424,36022.667,5773,3,PG,1,100,9772
1576518603.131868,36055.000,5773,3,PG,1,100,9786
1576518603.172293,36089.000,5791,3,PG,1,100,9783
1576518603.212719,36123.000,5791,3,PG,1,100,9817
1576518603.253144,36157.000,5791,3,PG,1,100,9846
1576518603.290003,36188.000,5807,4,PG,1,100,9867
1576518603.326861,36219.000,5807,4,PG,1,100,9888
1576518603.363719,36250.000,5807,4,PG,1,100,9886
1576518603.400578,36281.000,5807,4,PG,1,100,9897
1576518603.441400,36315.333,5825,3,PG,1,100,9832
1576518603.482221,36349.667,5825,3,PG,1,100,9765
1576518603.523043,36384.000,5825,3,PG,1,100,9728
1576518603.562874,36417.500,5843,2,PG,1,100,9726
1576518603.602705,36451.000,5843,2,PG,1,100,9680
1576518603.646301,36487.667,5861,3,PG,1,100,9734
1576518603.689897,36524.333,5861,3,PG,1,100,9774
1576518603.733493,36561.000,5861,3,PG,1,100,9724
1576518603.775900,36596.667,5879,3,PG,1,100,9691
1576518603.818307,36632.333,5879,3,PG,1,100,9760
1576518603.860714,36668.000,5879,3,PG,1,100,9787
1576518603.898761,36700.000,5897,3,PG,1,100,9782
1576518603.936809,36732.000,5897,3,PG,1,100,9786
1576518603.974856,36764.000,5897,3,PG,1,100,9843
1576518604.015281,36798.000,5916,3,PG,1,100,9873
1576518604.055707,36832.000,5916,3,PG,1,100,9900
1576518604.096132,36866.000,5916,3,PG,1,100,9846
1576518604.136954,36900.333,5933,3,PG,1,100,9830
1576518604.177776,36934.667,5933,3,PG,1,100,9840
1576518604.218597,36969.000,5933,3,PG,1,100,9792
1576518604.254861,36999.500,5951,4,PG,1,100,9745
1576518604.291125,37030.000,5951,4,PG,1,100,9741
