EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,ER
1558722344.499768,276988.000,48417,3,ER,1,100,1.653223
1558722344.565830,277036.500,48436,2,ER,1,100,1.653625
1558722344.631890,277085.000,48436,2,ER,1,100,1.656848
1558722344.699994,277135.000,48454,2,ER,1,100,1.659467
1558722344.768098,277185.000,48454,2,ER,1,100,1.660876
1558722344.835521,277234.500,48472,2,ER,1,100,1.660876
1558722344.902944,277284.000,48472,2,ER,1,100,1.663898
1558722344.969686,277333.000,48490,2,ER,1,100,1.665308
1558722345.036428,277382.000,48490,2,ER,1,100,1.668329
1558722345.102489,277430.500,48508,2,ER,1,100,1.666113
1558722345.168550,277479.000,48508,2,ER,1,100,1.670544
1558722345.235292,277528.000,48526,2,ER,1,100,1.667926
1558722345.302034,277577.000,48526,2,ER,1,100,1.669134
1558722345.368094,277625.500,48544,2,ER,1,100,1.670142
1558722345.434155,277674.000,48544,2,ER,1,100,1.671149
1558722345.500897,277723.000,48563,2,ER,1,100,1.668732
1558722345.567639,277772.000,48563,2,ER,1,100,1.669739
1558722345.635743,277822.000,48581,2,ER,1,100,1.668933
1558722345.703847,277872.000,48581,2,ER,1,100,1.668732
1558722345.771270,277921.500,48599,2,ER,1,100,1.667120
1558722345.838693,277971.000,48599,2,ER,1,100,1.667725
1558722345.906116,278020.500,48617,2,ER,1,100,1.665710
1558722345.973539,278070.000,48617,2,ER,1,100,1.666516
1558722346.040962,278119.500,48635,2,ER,1,100,1.664301
1558722346.108385,278169.000,48635,2,ER,1,100,1.663898
1558722346.173765,278217.000,48653,2,ER,1,100,1.658057
1558722346.239145,278265.000,48653,2,ER,1,100,1.657452
1558722346.305205,278313.500,48671,2,ER,1,100,1.658258
1558722346.371266,278362.000,48671,2,ER,1,100,1.659869
1558722346.437327,278410.500,48690,2,ER,1,100,1.658459
1558722346.503388,278459.000,48690,2,ER,1,100,1.662488
1558722346.569449,278507.500,48708,2,ER,1,100,1.662689
1558722346.635510,278556.000,48708,2,ER,1,100,1.666113
1558722346.702252,278605.000,48726,3,ER,1,100,1.664703
1558722346.768994,278654.000,48726,3,ER,1,100,1.663696
1558722346.835736,278703.000,48726,3,ER,1,100,1.664703
1558722346.903158,278752.500,48744,2,ER,1,100,1.665308
1558722346.970582,278802.000,48744,2,ER,1,100,1.667926
1558722347.037323,278851.000,48762,2,ER,1,100,1.667725
1558722347.104065,278900.000,48762,2,ER,1,100,1.668732
1558722347.169445,278948.000,48780,2,ER,1,100,1.670544
1558722347.234825,278996.000,48780,2,ER,1,100,1.671954
1558722347.300886,279044.500,48798,2,ER,1,100,1.670142
1558722347.366947,279093.000,48798,2,ER,1,100,1.672760
1558722347.433008,279141.500,48816,2,ER,1,100,1.671551
1558722347.499068,279190.000,48816,2,ER,1,100,1.671149
1558722347.564448,279238.000,48835,2,ER,1,100,1.666315
1558722347.629828,279286.000,48835,2,ER,1,100,1.663696
1558722347.697932,279336.000,48853,2,ER,1,100,1.653424
1558722347.766036,279386.000,48853,2,ER,1,100,1.653625
1558722347.833323,279435.400,48871,5,ER,1,100,1.653424
1558722347.900610,279484.800,48871,5,ER,1,100,1.657251
1558722347.967896,279534.200,48871,5,ER,1,100,1.659869
1558722348.035183,279583.600,48871,5,ER,1,100,1.660675
