RD,TS_received,TS_sent,AK,RoundTrip,c2e,e2c
440094,440102,2019-05-24_14-47-42-292,440105,8,3,5,
445220,445230,2019-05-24_14-47-49-273,445233,10,3,7,
450352,450364,2019-05-24_14-47-56-261,450367,12,3,9,
455482,455488,2019-05-24_14-48-03-251,455491,6,3,3,
460611,460618,2019-05-24_14-48-10-239,460621,7,3,4,
465742,465755,2019-05-24_14-48-17-242,465758,13,3,10,
470866,470874,2019-05-24_14-48-24-211,470877,8,3,5,
475994,476002,2019-05-24_14-48-31-196,476005,8,3,5,
481121,481130,2019-05-24_14-48-38-186,481133,9,3,6,
486257,486264,2019-05-24_14-48-45-169,486268,7,4,3,
491390,491397,2019-05-24_14-48-52-163,491400,7,3,4,
496516,496523,2019-05-24_14-48-59-150,496526,7,3,4,
