EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1575568684.301574,37212.000,5965,3,PR,1,100,180037
1575568684.343205,37247.000,5965,3,PR,1,100,179975
1575568684.384837,37282.000,5965,3,PR,1,100,180021
1575568684.423297,37314.333,5983,3,PR,1,100,180049
1575568684.461757,37346.667,5983,3,PR,1,100,179930
1575568684.500217,37379.000,5983,3,PR,1,100,179710
1575568684.538280,37411.000,6001,3,PR,1,100,179633
1575568684.576344,37443.000,6001,3,PR,1,100,179735
1575568684.614407,37475.000,6001,3,PR,1,100,179944
1575568684.655325,37509.400,6022,5,PR,1,100,180157
1575568684.696244,37543.800,6022,5,PR,1,100,180405
1575568684.737162,37578.200,6022,5,PR,1,100,180702
1575568684.778080,37612.600,6022,5,PR,1,100,180808
1575568684.818998,37647.000,6022,5,PR,1,100,180772
1575568684.862414,37683.500,6043,2,PR,1,100,180749
1575568684.905830,37720.000,6043,2,PR,1,100,180747
1575568684.946669,37754.333,6061,3,PR,1,100,180765
1575568684.987508,37788.667,6061,3,PR,1,100,180744
1575568685.028347,37823.000,6061,3,PR,1,100,180459
1575568685.065220,37854.000,6079,4,PR,1,100,180158
1575568685.102094,37885.000,6079,4,PR,1,100,179981
1575568685.138968,37916.000,6079,4,PR,1,100,180026
1575568685.175842,37947.000,6079,4,PR,1,100,180138
1575568685.215888,37980.667,6097,3,PR,1,100,180317
1575568685.255934,38014.333,6097,3,PR,1,100,180562
1575568685.295980,38048.000,6097,3,PR,1,100,180733
1575568685.336422,38082.000,6115,3,PR,1,100,180817
1575568685.376864,38116.000,6115,3,PR,1,100,180731
1575568685.417307,38150.000,6115,3,PR,1,100,180703
1575568685.458542,38184.667,6133,3,PR,1,100,180728
1575568685.499778,38219.333,6133,3,PR,1,100,180735
1575568685.541013,38254.000,6133,3,PR,1,100,180759
1575568685.582050,38288.500,6151,2,PR,1,100,180776
1575568685.623087,38323.000,6151,2,PR,1,100,180786
1575568685.661745,38355.500,6168,4,PR,1,100,180751
1575568685.700403,38388.000,6168,4,PR,1,100,180379
1575568685.739061,38420.500,6168,4,PR,1,100,180215
1575568685.777719,38453.000,6168,4,PR,1,100,180063
1575568685.817369,38486.333,6187,3,PR,1,100,180186
1575568685.857018,38519.667,6187,3,PR,1,100,180566
1575568685.896668,38553.000,6187,3,PR,1,100,180822
1575568685.936317,38586.333,6205,3,PR,1,100,180763
1575568685.975966,38619.667,6205,3,PR,1,100,180759
1575568686.015616,38653.000,6205,3,PR,1,100,180763
1575568686.057248,38688.000,6221,3,PR,1,100,180774
1575568686.098880,38723.000,6221,3,PR,1,100,180785
1575568686.140511,38758.000,6221,3,PR,1,100,180802
1575568686.181548,38792.500,6239,2,PR,1,100,180834
1575568686.222585,38827.000,6239,2,PR,1,100,180835
1575568686.261838,38860.000,6257,4,PR,1,100,180841
1575568686.301091,38893.000,6257,4,PR,1,100,180866
1575568686.340344,38926.000,6257,4,PR,1,100,180876
1575568686.379597,38959.000,6257,4,PR,1,100,180900
1575568686.418453,38991.667,6275,3,PR,1,100,180878
1575568686.457310,39024.333,6275,3,PR,1,100,180707
1575568686.496166,39057.000,6275,3,PR,1,100,180612
1575568686.535419,39090.000,6293,3,PR,1,100,180594
1575568686.574672,39123.000,6293,3,PR,1,100,180594
1575568686.613925,39156.000,6293,3,PR,1,100,180595
1575568686.655160,39190.667,6311,3,PR,1,100,180583
1575568686.696395,39225.333,6311,3,PR,1,100,180618
1575568686.737631,39260.000,6311,3,PR,1,100,180592
1575568686.778866,39294.667,6329,3,PR,1,100,180552
1575568686.820101,39329.333,6329,3,PR,1,100,180518
1575568686.861337,39364.000,6329,3,PR,1,100,180487
1575568686.900590,39397.000,6347,3,PR,1,100,180427
1575568686.939842,39430.000,6347,3,PR,1,100,180385
1575568686.979095,39463.000,6347,3,PR,1,100,180364
1575568687.017159,39495.000,6365,3,PR,1,100,180383
1575568687.055222,39527.000,6365,3,PR,1,100,180394
1575568687.093286,39559.000,6365,3,PR,1,100,180371
1575568687.132539,39592.000,6383,3,PR,1,100,180206
1575568687.171791,39625.000,6383,3,PR,1,100,180023
1575568687.211044,39658.000,6383,3,PR,1,100,179961
1575568687.251883,39692.333,6399,3,PR,1,100,179944
1575568687.292722,39726.667,6399,3,PR,1,100,179961
1575568687.333561,39761.000,6399,3,PR,1,100,179903
1575568687.374796,39795.667,6417,3,PR,1,100,179814
1575568687.416031,39830.333,6417,3,PR,1,100,179770
1575568687.457267,39865.000,6417,3,PR,1,100,179708
1575568687.497313,39898.667,6435,3,PR,1,100,179712
1575568687.537359,39932.333,6435,3,PR,1,100,179736
1575568687.577404,39966.000,6435,3,PR,1,100,179744
1575568687.615468,39998.000,6453,3,PR,1,100,179803
1575568687.653531,40030.000,6453,3,PR,1,100,179788
1575568687.691595,40062.000,6453,3,PR,1,100,179770
1575568687.730847,40095.000,6471,3,PR,1,100,179774
1575568687.770100,40128.000,6471,3,PR,1,100,179784
1575568687.809353,40161.000,6471,3,PR,1,100,179758
1575568687.850589,40195.667,6490,3,PR,1,100,179592
1575568687.891824,40230.333,6490,3,PR,1,100,179443
1575568687.933059,40265.000,6490,3,PR,1,100,179389
1575568687.974294,40299.667,6508,3,PR,1,100,179387
