EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1575568706.598395,55957.000,9256,1,TH,1,100,16278
1575568706.729238,56067.000,9274,1,TH,1,100,16354
1575568706.855323,56173.000,9293,1,TH,1,100,16350
1575568706.990924,56287.000,9311,1,TH,1,100,16362
1575568707.126525,56401.000,9329,1,TH,1,100,16332
1575568707.265694,56518.000,9364,1,TH,1,100,16298
1575568707.395347,56627.000,9382,1,TH,1,100,16360
1575568707.521432,56733.000,9399,1,TH,1,100,16362
1575568707.658223,56848.000,9416,1,TH,1,100,16360
1575568707.797392,56965.000,9434,1,TH,1,100,16296
1575568707.928235,57075.000,9453,1,TH,1,100,16342
1575568708.054320,57181.000,9471,1,TH,1,100,16358
1575568708.187542,57293.000,9489,1,TH,1,100,16368
1575568708.321953,57406.000,9507,1,TH,1,100,16344
1575568708.459933,57522.000,9525,1,TH,1,100,16328
1575568708.593155,57634.000,9560,1,TH,1,100,16324
1575568708.723998,57744.000,9578,1,TH,1,100,16362
1575568708.848893,57849.000,9596,1,TH,1,100,16374
1575568708.982115,57961.000,9616,2,TH,1,100,16350
1575568709.115337,58073.000,9616,2,TH,1,100,16332
1575568709.246180,58183.000,9636,1,TH,1,100,16346
1575568709.385349,58300.000,9671,1,TH,1,100,16312
1575568709.522139,58415.000,9688,1,TH,1,100,16356
1575568709.651793,58524.000,9705,1,TH,1,100,16336
1575568709.781446,58633.000,9723,1,TH,1,100,16320
1575568709.914668,58745.000,9742,1,TH,1,100,16320
1575568710.053837,58862.000,9760,1,TH,1,100,16366
1575568710.193007,58979.000,9778,1,TH,1,100,16344
1575568710.316713,59083.000,9796,1,TH,1,100,16316
1575568710.447556,59193.000,9814,1,TH,1,100,16328
1575568710.583156,59307.000,9849,1,TH,1,100,16312
1575568710.717568,59420.000,9866,1,TH,1,100,16360
1575568710.854358,59535.000,9884,1,TH,1,100,16370
1575568710.981632,59642.000,9902,1,TH,1,100,16326
1575568711.107718,59748.000,9920,1,TH,1,100,16296
1575568711.248076,59866.000,9938,1,TH,1,100,16356
1575568711.388435,59984.000,9956,1,TH,1,100,16366
1575568711.515709,60091.000,9974,1,TH,1,100,16334
1575568711.642984,60198.000,9992,1,TH,1,100,16336
1575568711.780964,60314.000,10028,1,TH,1,100,16300
1575568711.915375,60427.000,10045,1,TH,1,100,16348
1575568712.053355,60543.000,10062,1,TH,1,100,16378
1575568712.177061,60647.000,10080,1,TH,1,100,16336
1575568712.305525,60755.000,10098,1,TH,1,100,16330
1575568712.442315,60870.000,10116,1,TH,1,100,16332
1575568712.581485,60987.000,10134,1,TH,1,100,16366
1575568712.719464,61103.000,10152,1,TH,1,100,16344
1575568712.857444,61219.000,10188,1,TH,1,100,16328
1575568712.987098,61328.000,10206,1,TH,1,100,16344
1575568713.114372,61435.000,10224,1,TH,1,100,16362
1575568713.247594,61547.000,10241,1,TH,1,100,16380
1575568713.386763,61664.000,10258,1,TH,1,100,16350
1575568713.524743,61780.000,10276,1,TH,1,100,16348
1575568713.650828,61886.000,10294,1,TH,1,100,16370
1575568713.781671,61996.000,10312,1,TH,1,100,16364
1575568713.917272,62110.000,10331,1,TH,1,100,16352
1575568714.052872,62224.000,10349,1,TH,1,100,16338
1575568714.188473,62338.000,10384,1,TH,1,100,16328
1575568714.325264,62453.000,10401,1,TH,1,100,16376
1575568714.454917,62562.000,10418,1,TH,1,100,16372
1575568714.582191,62669.000,10436,1,TH,1,100,16336
1575568714.715413,62781.000,10454,1,TH,1,100,16312
1575568714.854583,62898.000,10473,1,TH,1,100,16358
1575568714.993752,63015.000,10491,1,TH,1,100,16374
