EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1576770654.113427,39067.667,6332,3,MX,1,100,-38
1576770654.153379,39101.333,6332,3,MX,1,100,-38
1576770654.193331,39135.000,6332,3,MX,1,100,-38
1576770654.234075,39169.333,6349,3,MX,1,100,-38
1576770654.274818,39203.667,6349,3,MX,1,100,-37
1576770654.315561,39238.000,6349,3,MX,1,100,-38
1576770654.357095,39273.000,6368,3,MX,1,100,-37
1576770654.398630,39308.000,6368,3,MX,1,100,-38
1576770654.440164,39343.000,6368,3,MX,1,100,-37
1576770654.480512,39377.000,6386,3,MX,1,100,-38
1576770654.520859,39411.000,6386,3,MX,1,100,-38
1576770654.561207,39445.000,6386,3,MX,1,100,-38
1576770654.602148,39479.500,6404,2,MX,1,100,-38
1576770654.643089,39514.000,6404,2,MX,1,100,-38
1576770654.683437,39548.000,6422,3,MX,1,100,-38
1576770654.723784,39582.000,6422,3,MX,1,100,-37
1576770654.764132,39616.000,6422,3,MX,1,100,-38
1576770654.801810,39647.750,6440,4,MX,1,100,-38
1576770654.839487,39679.500,6440,4,MX,1,100,-38
1576770654.877165,39711.250,6440,4,MX,1,100,-38
1576770654.914843,39743.000,6440,4,MX,1,100,-38
1576770654.954795,39776.667,6458,3,MX,1,100,-40
1576770654.994747,39810.333,6458,3,MX,1,100,-38
1576770655.034699,39844.000,6458,3,MX,1,100,-38
1576770655.082167,39884.000,6475,2,MX,1,100,-39
1576770655.129635,39924.000,6475,2,MX,1,100,-38
1576770655.170773,39958.667,6493,3,MX,1,100,-38
1576770655.211912,39993.333,6493,3,MX,1,100,-39
1576770655.253051,40028.000,6493,3,MX,1,100,-38
1576770655.293003,40061.667,6509,3,MX,1,100,-38
1576770655.332955,40095.333,6509,3,MX,1,100,-38
1576770655.372907,40129.000,6509,3,MX,1,100,-39
1576770655.410882,40161.000,6528,3,MX,1,100,-37
1576770655.448856,40193.000,6528,3,MX,1,100,-39
1576770655.486830,40225.000,6528,3,MX,1,100,-39
1576770655.525694,40257.750,6546,4,MX,1,100,-38
